Province/State,Department,Lat,Long,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20
,Atlántida,-86.90185546874999,15.331869533637521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,10,10
,Choluteca,-87.16552734375,13.277372689908319,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Colón,-85.5780029296875,15.707662769583518,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,12,14,14,14,18,18,18,18,18
,Comayagua,-87.63519287109375,14.432020320224686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Copán,-88.8189697265625,14.774882506516272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cortés,-87.63519287109375,14.432020320224686,0,0,0,0,0,0,2,7,7,7,9,9,9,10,24,24,42,51,78,80,102,139,140,169,170
,El Paraiso,-86.5887451171875,14.030014548014327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Francisco Morazán,-87.1490478515625,14.080637271223901,1,1,2,2,4,6,7,14,14,14,14,14,16,16,16,32,32,35,37,37,39,43,44,45,47
,Gracias a Dios,-84.39697265625,15.199386048559994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Intibucá,-88.16802978515625,14.26970682947128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Islas de la Bahía,-86.429443359375,16.3833911236084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,La Paz,-87.93731689453125,14.056659482401889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,Lempira,-88.61572265625,14.314953551894586,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4
,Ocotepeque,-89.06890869140624,14.479893564168481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Olancho,-85.7537841796875,14.806749372133767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Santa Barbara,-88.30810546875,15.117204423332618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,8.8
,Valle,-87.5665283203125,13.528519411472107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yoro,-87.18200683593749,15.199386048559994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,6,6,7,7
